group,population,plot, family ,block,d13c
1,blk cyn,BC1,59,5,-30.174
2,blk cyn,BC1,59,5,
1,blk cyn,BC1,59,2,-29.651
2,blk cyn,BC1,59,2,
1,blk cyn,BC1,59,4,-29.563
2,blk cyn,BC1,59,4,
1,blk cyn,BC1,59,3,-29.201
2,blk cyn,BC1,59,3,
1,blk cyn,BC1,59,1,-28.998
2,blk cyn,BC1,59,1,
1,blk cyn,BC1,60,4,-31.234
2,blk cyn,BC1,60,4,
1,blk cyn,BC1,60,3,-30.665
2,blk cyn,BC1,60,3,
1,blk cyn,BC1,60,1,-30.52
2,blk cyn,BC1,60,1,
1,blk cyn,BC1,60,5,-30.099
2,blk cyn,BC1,60,5,
1,blk cyn,BC1,60,2,-29.281
2,blk cyn,BC1,60,2,
1,blk cyn,BC1,61,5,-31.388
2,blk cyn,BC1,61,5,
1,blk cyn,BC1,61,3,-30.906
2,blk cyn,BC1,61,3,
1,blk cyn,BC1,61,3,-30.26
2,blk cyn,BC1,61,3,
1,blk cyn,BC1,61,4,-30.205
2,blk cyn,BC1,61,4,
1,blk cyn,BC1,61,2,-28.983
2,blk cyn,BC1,61,2,
1,blk cyn,BC2,63,5,-31.511
2,blk cyn,BC2,63,5,
1,blk cyn,BC2,63,4,-31.127
2,blk cyn,BC2,63,4,
1,blk cyn,BC2,63,1,-30.922
2,blk cyn,BC2,63,1,
1,blk cyn,BC2,63,3,-30.852
2,blk cyn,BC2,63,3,
1,blk cyn,BC2,63,2,-30.444
2,blk cyn,BC2,63,2,
1,blk cyn,BC2,64,4,-30.303
2,blk cyn,BC2,64,4,
1,blk cyn,BC2,64,5,-30.154
2,blk cyn,BC2,64,5,
1,blk cyn,BC2,64,3,-30.153
2,blk cyn,BC2,64,3,
1,blk cyn,BC2,64,1,-29.909
2,blk cyn,BC2,64,1,
1,blk cyn,BC2,64,2,-29.579
2,blk cyn,BC2,64,2,
1,blk cyn,BC2,65,1,-31.903
2,blk cyn,BC2,65,1,
1,blk cyn,BC2,65,4,-31.373
2,blk cyn,BC2,65,4,
1,blk cyn,BC2,65,5,-31.366
2,blk cyn,BC2,65,5,
1,blk cyn,BC2,65,2,-29.644
2,blk cyn,BC2,65,2,
1,blk cyn,BC2,65,3,-29.321
2,blk cyn,BC2,65,3,
1,blk cyn,BC2,67,5,-30.838
2,blk cyn,BC2,67,5,
1,blk cyn,BC2,67,2,-30.683
2,blk cyn,BC2,67,2,
1,blk cyn,BC2,67,4,-30.077
2,blk cyn,BC2,67,4,
1,blk cyn,BC2,67,3,-29.957
2,blk cyn,BC2,67,3,
1,blk cyn,BC2,67,1,-29.835
2,blk cyn,BC2,67,1,
1,blk cyn,BC2,69,2,-30.873
2,blk cyn,BC2,69,2,
1,blk cyn,BC2,69,1,-30.665
2,blk cyn,BC2,69,1,
1,blk cyn,BC2,69,4,-30.599
2,blk cyn,BC2,69,4,
1,blk cyn,BC2,69,3,-29.893
2,blk cyn,BC2,69,3,
1,blk cyn,BC2,69,5,-29.605
2,blk cyn,BC2,69,5,
1,blk cyn,BC3,72,5,-31.369
2,blk cyn,BC3,72,5,
1,blk cyn,BC3,72,3,-30.327
2,blk cyn,BC3,72,3,
1,blk cyn,BC3,72,1,-28.754
2,blk cyn,BC3,72,1,
1,blk cyn,BC3,72,2,-28.329
2,blk cyn,BC3,72,2,
1,blk cyn,BC3,72,4,-28.275
2,blk cyn,BC3,72,4,
1,blk cyn,BC3,73,1,-29.956
2,blk cyn,BC3,73,1,
1,blk cyn,BC3,73,1,-29.075
2,blk cyn,BC3,73,1,
1,blk cyn,BC3,73,1,-28.08
2,blk cyn,BC3,73,1,
1,flume,FT1,76,1,-31.766
2,flume,FT1,76,1,
1,flume,FT1,76,2,-30.731
2,flume,FT1,76,2,
1,flume,FT1,76,3,-30.286
2,flume,FT1,76,3,
1,flume,FT1,76,4,-29.549
2,flume,FT1,76,4,
1,flume,FT1,76,5,-28.707
2,flume,FT1,76,5,
1,flume,FT1,77,5,-31.785
2,flume,FT1,77,5,
1,flume,FT1,77,2,-31.352
2,flume,FT1,77,2,
1,flume,FT1,77,1,-29.795
2,flume,FT1,77,1,
1,flume,FT1,77,3,-29.737
2,flume,FT1,77,3,
1,flume,FT1,77,4,-29.332
2,flume,FT1,77,4,
1,flume,FT1,78,1,-31.302
2,flume,FT1,78,1,
1,flume,FT1,78,5,-30.713
2,flume,FT1,78,5,
1,flume,FT1,78,3,-30.255
2,flume,FT1,78,3,
1,flume,FT1,78,4,-30.02
2,flume,FT1,78,4,
1,flume,FT1,78,2,-29.882
2,flume,FT1,78,2,
1,flume,FT1,79,1,-31.658
2,flume,FT1,79,1,
1,flume,FT1,79,3,-31.373
2,flume,FT1,79,3,
1,flume,FT1,79,4,-30.289
2,flume,FT1,79,4,
1,flume,FT1,79,5,-29.803
2,flume,FT1,79,5,
1,flume,FT1,79,2,-29.006
2,flume,FT1,79,2,
1,flume,FT2,81,2,-31.216
2,flume,FT2,81,2,
1,flume,FT2,81,3,-30.98
2,flume,FT2,81,3,
1,flume,FT2,81,5,-30.496
2,flume,FT2,81,5,
1,flume,FT2,81,4,-30.301
2,flume,FT2,81,4,
1,flume,FT2,81,1,-30.192
2,flume,FT2,81,1,
1,flume,FT2,82,1,-30.763
2,flume,FT2,82,1,
1,flume,FT2,82,5,-30.687
2,flume,FT2,82,5,
1,flume,FT2,82,4,-30.637
2,flume,FT2,82,4,
1,flume,FT2,82,3,-29.367
2,flume,FT2,82,3,
1,flume,FT2,82,2,-28.404
2,flume,FT2,82,2,
1,flume,FT2,83,4,-31.688
2,flume,FT2,83,4,
1,flume,FT2,83,2,-30.854
2,flume,FT2,83,2,
1,flume,FT2,83,4,-30.407
2,flume,FT2,83,4,
1,flume,FT2,83,3,-30.396
2,flume,FT2,83,3,
1,flume,FT2,83,1,-29.891
2,flume,FT2,83,1,
1,flume,FT2,84,3,-32.072
2,flume,FT2,84,3,
1,flume,FT2,84,2,-31.245
2,flume,FT2,84,2,
1,flume,FT2,84,1,-31.062
2,flume,FT2,84,1,
1,flume,FT2,84,5,-30.93
2,flume,FT2,84,5,
1,flume,FT2,84,4,-30.869
2,flume,FT2,84,4,
1,flume,FT2,85,3,-31.287
2,flume,FT2,85,3,
1,flume,FT2,85,5,-30.861
2,flume,FT2,85,5,
1,flume,FT2,85,1,-30.575
2,flume,FT2,85,1,
1,flume,FT2,85,4,-30.496
2,flume,FT2,85,4,
1,flume,FT2,85,2,-29.715
2,flume,FT2,85,2,
1,flume,FT2,86,3,-31.264
2,flume,FT2,86,3,
1,flume,FT2,86,2,-30.616
2,flume,FT2,86,2,
1,flume,FT2,86,4,-30.599
2,flume,FT2,86,4,
1,flume,FT2,86,1,-30.296
2,flume,FT2,86,1,
1,flume,FT2,86,5,-30.065
2,flume,FT2,86,5,
1,flume,FT2,86,4,-29.537
2,flume,FT2,86,4,
1,flume,FT2,87,4,-30.336
2,flume,FT2,87,4,
1,flume,FT2,87,1,-30.233
2,flume,FT2,87,1,
1,flume,FT2,87,3,-29.917
2,flume,FT2,87,3,
1,flume,FT2,87,5,-29.894
2,flume,FT2,87,5,
1,flume,FT3,88,4,-31.457
2,flume,FT3,88,4,
1,flume,FT3,88,5,-30.402
2,flume,FT3,88,5,
1,flume,FT3,88,2,-29.894
2,flume,FT3,88,2,
1,flume,FT3,88,1,-29.367
2,flume,FT3,88,1,
1,flume,FT3,88,3,-29.048
2,flume,FT3,88,3,
1,flume,FT3,89,1,-31.078
2,flume,FT3,89,1,
1,flume,FT3,89,4,-31.043
