"population"	"fam"	"longitude"	"latitude"	"elev"	"max_rad"	"tmax_july"	"tmin_jan"	"ann_ppt"	"gdd_aug"	"AWS050"	"mean.d13c"
"1"	"blk cyn"	59	-120.2114003	39.0747603	2123	75.84	23.1	-6.7	1472	265	12.28	-29.5174
"2"	"blk cyn"	60	-120.2114003	39.0747603	2123	75.84	23.1	-6.7	1472	265	12.28	-30.3598
"3"	"blk cyn"	61	-120.2114003	39.0747603	2123	75.84	23.1	-6.7	1472	265	12.28	-30.3484
"4"	"blk cyn"	63	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92	-30.9712
"5"	"blk cyn"	64	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92	-30.0196
"6"	"blk cyn"	65	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92	-30.7214
"7"	"blk cyn"	67	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92	-30.278
"8"	"blk cyn"	69	-120.2130494	39.07543953	2144	77.64	23.1	-6.7	1472	265	3.92	-30.327
"9"	"blk cyn"	72	-120.2163816	39.07476269	2214	80.61	23.1	-6.7	1472	265	3.49	-29.4108
"10"	"blk cyn"	73	-120.2163816	39.07476269	2214	80.61	23.1	-6.7	1472	265	3.49	-29.037
"11"	"flume"	76	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75	-30.2078
"12"	"flume"	77	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75	-30.4002
"13"	"flume"	78	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75	-30.4344
"14"	"flume"	79	-119.9149689	39.20698611	2391	60.86	23.4	-7.8	797	288	2.75	-30.4258
"15"	"flume"	81	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54	-30.637
"16"	"flume"	82	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54	-29.9716
"17"	"flume"	83	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54	-30.6472
"18"	"flume"	84	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54	-31.2356
"19"	"flume"	85	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54	-30.5868
"20"	"flume"	86	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54	-30.3961666666667
"21"	"flume"	87	-119.9144213	39.20606298	2422	63.36	23.4	-7.8	797	288	3.54	-30.095
"22"	"flume"	88	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02	-30.0336
"23"	"flume"	89	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02	-30.2504
"24"	"flume"	90	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02	-30.889
"25"	"flume"	92	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02	-30.6908
"26"	"flume"	93	-119.9125318	39.20573207	2413	58.11	23.4	-7.8	797	288	2.02	-29.4202
"27"	"incline lk"	94	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67	-30.7396
"28"	"incline lk"	95	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67	-30.0698
"29"	"incline lk"	96	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67	-30.6086
"30"	"incline lk"	97	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67	-30.233
"31"	"incline lk"	98	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67	-30.5406
"32"	"incline lk"	99	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67	-31.015
"33"	"incline lk"	100	-119.9306177	39.2936058	2554	77.98	21.9	-7.6	1394	251	3.67	-30.6208
"34"	"incline lk"	101	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58	-30.80725
"35"	"incline lk"	102	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58	-31.1344
"36"	"incline lk"	103	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58	-30.408
"37"	"incline lk"	104	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58	-31.3054
"38"	"incline lk"	105	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58	-31.2254
"39"	"incline lk"	107	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58	-29.9356
"40"	"incline lk"	108	-119.9319802	39.29513883	2597	79.98	21.9	-7.6	1394	251	3.58	-30.1612
"41"	"incline lk"	109	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.9316
"42"	"incline lk"	110	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.5614
"43"	"incline lk"	111	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.036
"44"	"incline lk"	112	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.5626
"45"	"incline lk"	113	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.6682
"46"	"incline lk"	114	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.481
"47"	"incline lk"	115	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.3766
"48"	"incline lk"	116	-119.9317671	39.29614417	2587	85.16	21.9	-7.6	1394	251	3.58	-30.447
"49"	"echo lk"	117	-120.0494105	38.83784959	2318	56.67	23	-6.6	1292	332	4.09	-30.8934
"50"	"echo lk"	120	-120.0494105	38.83784959	2318	56.67	23	-6.6	1292	332	4.09	-30.7552
"51"	"echo lk"	121	-120.0494105	38.83784959	2318	56.67	23	-6.6	1292	332	4.09	-31.0064
"52"	"echo lk"	122	-120.049383	38.83907412	2282	70.51	23	-6.6	1292	332	1.99	-31.41
"53"	"echo lk"	123	-120.049383	38.83907412	2282	70.51	23	-6.6	1292	332	1.99	-30.8318
"54"	"echo lk"	124	-120.049383	38.83907412	2282	70.51	23	-6.6	1292	332	1.99	-31.1764
"55"	"echo lk"	126	-120.049383	38.83907412	2282	70.51	23	-6.6	1292	332	1.99	-30.8766
"56"	"echo lk"	127	-120.0484359	38.83718521	2343	68.51	22.5	-6.6	1563	324	1.99	-30.8112
"57"	"echo lk"	129	-120.0484359	38.83718521	2343	68.51	22.5	-6.6	1563	324	1.99	-30.8074
"58"	"jakes"	130	-120.106543	38.96987144	2336	75.45	22.7	-6.8	1218	275	4.66	-31.2154
"59"	"jakes"	131	-120.106543	38.96987144	2336	75.45	22.7	-6.8	1218	275	4.66	-30.0968
"60"	"jakes"	132	-120.106543	38.96987144	2336	75.45	22.7	-6.8	1218	275	4.66	-30.9636
"61"	"jakes"	134	-120.106543	38.96987144	2336	75.45	22.7	-6.8	1218	275	4.66	-30.7452
"62"	"jakes"	135	-120.1073875	38.97038797	2370	59.93	22.7	-6.8	1218	275	4.66	-31.284
"63"	"jakes"	137	-120.1073875	38.97038797	2370	59.93	22.7	-6.8	1218	275	4.66	-30.5278
"64"	"jakes"	138	-120.1073875	38.97038797	2370	59.93	22.7	-6.8	1218	275	4.66	-30.715
"65"	"jakes"	139	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75	-30.5344
"66"	"jakes"	140	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75	-31.3738
"67"	"jakes"	142	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75	-30.439
"68"	"jakes"	143	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75	-30.6322
"69"	"jakes"	144	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75	-30.8782
"70"	"hvn"	145	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54	-31.4804
"71"	"hvn"	146	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54	-31.0812
"72"	"hvn"	148	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54	-31.1966
"73"	"hvn"	149	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54	-31.5558
"74"	"hvn"	150	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54	-31.7584
"75"	"hvn"	151	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54	-31.0258
"76"	"hvn"	152	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54	-30.4524
"77"	"hvn"	153	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02	-32.1724
"78"	"hvn"	154	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02	-30.226
"79"	"hvn"	156	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02	-31.0924
"80"	"hvn"	157	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02	-30.8348
"81"	"hvn"	158	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02	-30.6578
"82"	"hvn"	159	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02	-31.2652
"83"	"hvn"	160	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54	-30.6842
"84"	"hvn"	161	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54	-30.7738
"85"	"hvn"	162	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54	-31.2374
"86"	"hvn"	163	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54	-30.9552
"87"	"hvn"	164	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54	-31.8208
"88"	"hvn"	165	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54	-31.3722
"89"	"hvn"	166	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54	-30.3844
"90"	"montreal cyn"	168	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-31.2984
"91"	"montreal cyn"	169	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-29.5494
"92"	"montreal cyn"	171	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-31.3558
"93"	"montreal cyn"	173	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-31.4242
"94"	"montreal cyn"	174	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-29.8902
"95"	"montreal cyn"	175	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-30.5266
"96"	"montreal cyn"	176	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-30.3148
"97"	"montreal cyn"	177	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43	-31.4086
"98"	"montreal cyn"	178	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43	-30.8352
"99"	"montreal cyn"	180	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43	-30.5128
"100"	"montreal cyn"	181	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43	-30.5212
"101"	"montreal cyn"	182	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43	-31.4758
"102"	"montreal cyn"	183	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43	-31.44675
"103"	"montreal cyn"	184	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43	-30.3546
"104"	"montreal cyn"	185	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43	-31.1818
"105"	"montreal cyn"	186	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43	-31.5154
"106"	"montreal cyn"	189	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43	-30.791
"107"	"montreal cyn"	190	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43	-31.0878
"108"	"mt watson"	191	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37	-31.3662
"109"	"mt watson"	193	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37	-31.3734
"110"	"mt watson"	195	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37	-31.3716
"111"	"mt watson"	196	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37	-31.091
"112"	"mt watson"	197	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37	-32.0448
"113"	"mt watson"	198	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37	-31.408
"114"	"mt watson"	199	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37	-31.9384
"115"	"mt watson"	200	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37	-31.5866
"116"	"mt watson"	201	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37	-30.9412
"117"	"mt watson"	202	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37	-31.289
"118"	"mt watson"	203	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37	-31.3112
"119"	"mt watson"	205	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37	-31.6592
"120"	"mt watson"	206	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37	-31.6222
"121"	"mt watson"	208	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37	-30.2742
"122"	"mt watson"	209	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37	-30.9256
"123"	"armstrong"	211	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75	-30.8386
"124"	"armstrong"	212	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75	-31.0055
"125"	"armstrong"	213	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75	-31.4756
"126"	"armstrong"	215	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75	-31.1512
"127"	"armstrong"	217	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75	-31.65225
"128"	"armstrong"	218	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75	-31.4444
"129"	"armstrong"	219	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75	-31.613
"130"	"armstrong"	221	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75	-30.6762
"131"	"armstrong"	223	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75	-31.207
"132"	"armstrong"	224	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75	-30.4428
"133"	"armstrong"	225	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75	-30.778
"134"	"armstrong"	226	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75	-31.5468
"135"	"armstrong"	227	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75	-30.828
"136"	"armstrong"	228	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75	-30.2584
"137"	"armstrong"	230	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75	-31.2816
"138"	"armstrong"	231	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75	-30.8426
"139"	"armstrong"	232	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75	-30.157
"140"	"meiss mdw"	233	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93	-30.945
"141"	"meiss mdw"	234	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93	-30.0314
"142"	"meiss mdw"	235	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93	-31.6538
"143"	"meiss mdw"	236	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93	-30.8142
"144"	"meiss mdw"	237	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93	-30.9574
"145"	"meiss mdw"	238	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93	-30.567
"146"	"meiss mdw"	239	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93	-31.1478
"147"	"meiss mdw"	241	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93	-30.2946
"148"	"meiss mdw"	242	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93	-30.5044
"149"	"meiss mdw"	244	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93	-29.9644
"150"	"meiss mdw"	245	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93	-31.7486
"151"	"meiss mdw"	246	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93	-31.1096
"152"	"meiss mdw"	247	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93	-31.0616
"153"	"meiss mdw"	248	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93	-31.033
