RenamedPop	Ind	Lat	Long	Cone_Length..cm.	Weight_seed..g.	wt10
ABI	ABI_ABI155	35.37076403	-111.6738448	12.37	0.106428	1.06428
ABI	ABI_ABI155	35.37076403	-111.6738448	12.57	0.136278	1.36278
ABI	ABI_ABI155	35.37076403	-111.6738448	11.92	0.132066	1.32066
ABI	ABI_ABI155	35.37076403	-111.6738448	12.25	0.109926	1.09926
ATH	ATH_ATH161	35.38373971	-111.6736722	10.46	0.109045	1.09045
ATH	ATH_ATH161	35.38373971	-111.6736722	10.19	0.101984	1.01984
ATH	ATH_ATH161	35.38373971	-111.6736722	14.25	0.120676	1.20676
ATH	ATH_ATH161	35.38373971	-111.6736722	11.66	0.08674	0.8674
ATH	ATH_ATH161	35.38373971	-111.6736722	12.26	0.116896	1.16896
ATH	ATH_ATH161	35.38373971	-111.6736722	8.37	0.12641	1.2641
ATH	ATH_ATH161	35.38373971	-111.6736722	14.06	0.171278	1.71278
ATH	ATH_ATH161	35.38373971	-111.6736722	11.14	0.165546	1.65546
BAL	BAL_1	26.846	-106.8145	26.33	0.2681	2.681
BAL	BAL_2	26.846	-106.8145	23.33	0.2741	2.741
BAL	BAL_3	26.846	-106.8145	22.36	0.3192	3.192
BAL	BAL_4	26.846	-106.8145	22.01	0.3291	3.291
BAS	BAS_1	28.1805	-108.2128	18.81	0.2665	2.665
BAS	BAS_2	28.1805	-108.2128	20.59	0.1665	1.665
BAS	BAS_3	28.1805	-108.2128	23.33	0.2282	2.282
BAS	BAS_4	28.1805	-108.2128	19.59	0.2572	2.572
BAS	BAS_5	28.1805	-108.2128	15.97	0.2569	2.569
BAY	BAY_1	23.5649	-104.7172	18.57	0.287	2.87
BAY	BAY_2	23.5649	-104.7172	17.27	0.2717	2.717
BAY	BAY_3	23.5649	-104.7172	17.61	0.1843	1.843
BAY	BAY_4	23.5649	-104.7172	20.93	0.2916	2.916
BAY	BAY_5	23.5649	-104.7172	22.52	0.3077	3.077
BCK	BCK-6048	38.00494	-107.65505	10.42	NA	1.4522
BCK	BCK-6050	38.00494	-107.65505	8.84	NA	1.4232
BCK	BCK-6052	38.00494	-107.65505	10.62	NA	1.0105
BCK	BCK-6053	38.00494	-107.65505	12	NA	1.1567
BCK	BCK-6054	38.00494	-107.65505	12.32	NA	1.3983
BRA	BRA_BRA07	32.97851614	-105.7207596	12.93	0.17545	1.7545
BRA	BRA_BRA07	32.97762388	-105.717046	11.46	0.13126	1.3126
BRA	BRA_BRA07	32.97820701	-105.7116917	15.76	0.167828	1.67828
BRA	BRA_BRA07	32.97814197	-105.7118764	15.11	0.21694	2.1694
BU	BU-261	39.10612	-106.15466	7.2	NA	1.1371
BU	BU-263	39.10644	-106.15495	7.91	NA	1.0403
BU	BU-265	39.10696	-106.15497	8.3	NA	0.9552
BU	BU-267	39.10838	-106.15513	8.59	NA	0.9717
BU	BU-269	39.10902	-106.15473	9.18	NA	0.907
CAP	CAP_CAPFOL10	27.79747222	-107.6360833	23.43	0.3989	3.989
CAP	CAP_CAPFOL10	27.80044444	-107.4641111	18.61	0.3553	3.553
CAP	CAP_CAPFOL10	27.79736111	-107.6357778	19.9	0.2829	2.829
CAP	CAP_CAPFOL10	27.80205556	-107.7967778	14.18	0.266	2.66
CAP	CAP_CAPFOL10	27.805	-107.6291667	19.77	0.2078	2.078
CH	CH-125	40.96875	-105.52591	8.56	NA	0.8024
CH	CH-127	40.96901	-105.52624	8.57	NA	0.8829
CH	CH-129	40.96924	-105.5277	8.39	NA	0.7539
CH	CH-131	40.96765	-105.52727	7.94	NA	1.0199
CH	CH-135	40.97131	-105.52959	9.46	NA	1.0767
COO	COO_1	33.05000078	-105.6454003	8.85	0.074322	0.74322
COO	COO_2	33.05058005	-105.6481506	12.47	0.170524	1.70524
COO	COO_3	33.05123895	-105.6463666	11.7	0.208398	2.08398
COO	COO_4	33.05029976	-105.6474728	14.39	0.218938	2.18938
CP	CP-136	40.65248	-105.65836	7.97	NA	0.5668
CP	CP-137	40.65209	-105.65461	7.39	NA	0.6478
CP	CP-141	40.65294	-105.6552	9.25	NA	0.6346
CP	CP-142	40.65237	-105.6555	7.22	NA	0.6387
CP	CP-144	40.65188	-105.65549	5.99	NA	0.3795
DD	DD-101	40.8129	-104.03	8	NA	0.5974
DD	DD-102	40.81292	-104.03305	9.2	NA	0.3099
DD	DD-103	40.81413	-104.02943	8.75	NA	0.4612
DD	DD-104	40.81421	-104.02951	9.33	NA	0.5645
EAG	EAG_EAG113	33.39344348	-105.7334219	7.97	0.08424	0.8424
EAG	EAG_EAG113	33.39381119	-105.7330511	9.62	0.076256	0.76256
EAG	EAG_EAG113	33.39317861	-105.734141	9.7	0.092224	0.92224
EFS	EFS-6057	37.38039	-106.87613	14.16	NA	1.9007
EFS	EFS-6059	37.38167	-106.87721	16.64	NA	2.1019
EFS	EFS-6061	37.38227	-106.87792	15.58	NA	2.077
EFS	EFS-6063	37.38273	-106.87851	11.74	NA	2.0532
EFS	EFS-6065	37.37562	-106.88652	15.78	NA	1.4655
FEN	FEN_1	33.25031108	-105.5969976	10.69	0.195302	1.95302
